link,price,manufacturer,model,reg-year,mileage,engine-size,transmission,fuel-type,drive,finance
https://www.namauto.com/cars/10908873-alfa-romeo-147-147-2.0-manual/,"N$ 65,000 ",Alfa Romeo,147 147 2.0 manual,2009,"114,000 km",2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10869514-toyota-rav4-2.0-gx-awd-import/,"N$ 74,900 ",Toyota,RAV4 2.0 GX AWD (Import),2002,"157,000 km",2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10384367-fiat-strada-1.4-working/,"N$ 75,000 ",Fiat,Strada 1.4 WORKING,2010,"155,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10976443-kia-picanto-1.2-ex/,"N$ 79,900 ",Kia,Picanto 1.2 EX,2011,"97,000 km",1.2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10665441-volkswagen-caddy-1.9-tdi-f-c-p-v/,"N$ 85,000 ",Volkswagen,Caddy 1.9 TDI F/C P/V,2008,"99,500 km",1.9 l,Manual,Diesel,N/A,None
https://www.namauto.com/cars/10736523-toyota-yaris-1.0-xs-5-dr/,"N$ 89,900 ",Toyota,Yaris 1.0 XS 5Dr,2012,"86,000 km",1 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10884920-volkswagen-golf-2.0-tdi-sportline/,"N$ 89,900 ",Volkswagen,Golf 2.0 TDI SPORTLINE,2006,"81,000 km",2 l,Manual,Diesel,N/A,None
https://www.namauto.com/cars/10981213-ford-bantam-1.6-i-xlt-a-c-p-u-s-c/,"N$ 89,900 ",Ford,BANTAM 1.6I XLT A/C P/U S/C,2012,"163,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10525280-mazda-mazda2-2-1.5-dynamic-5-dr/,"N$ 93,000 ",Mazda,Mazda2 2 1.5 DYNAMIC 5DR,2011,"82,300 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/9769645-alfa-romeo-gt-3.2-v6-distinctive/,"N$ 99,900 ",Alfa Romeo,GT 3.2 V6 DISTINCTIVE,2009,"87,000 km",3.2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10195734-renault-sandero-900-t-dynamique/,"N$ 99,900 ",Renault,SANDERO 900 T DYNAMIQUE,2015,"49,500 km",0.9 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10767993-ford-focus-2.0-tdci-trend-powershift/,"N$ 104,900 ",Ford,Focus 2.0 TDCi TREND POWERSHIFT,2011,"90,000 km",2 l,Automatic,Diesel,N/A,None
https://www.namauto.com/cars/10326975-lexus-lx-430/,"N$ 105,000 ",Lexus,LX 430,2000,"215,000 km",5.7 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/10789943-mercedes-benz-c-class-c230-v6-coupe/,"N$ 105,000 ",Mercedes-Benz,C-Class C230 V6 COUPE,2002,"149,000 km",2.5 l,N/A,N/A,N/A,None
https://www.namauto.com/cars/10991874-honda-brio-1.2-comfort-5-dr/,"N$ 105,000 ",Honda,BRIO 1.2 COMFORT 5DR,2014,"102,500 km",1.2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10502340-alfa-romeo-159-1750-tbi-progession/,"N$ 109,900 ",Alfa Romeo,159 1750TBi PROGESSION,2012,"121,500 km",1.7 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10736486-nissan-almera-1.5-acenta/,"N$ 114,900 ",Nissan,Almera 1.5 ACENTA,2014,"83,400 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10808425-citroen-c4-aircross-2.0-seduction/,"N$ 115,000 ",Citroen,C4 Aircross 2.0 SEDUCTION,2013,"108,300 km",2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10246084-volkswagen-polo-polo-vivo-1.6-trend/,"N$ 119,900 ",Volkswagen,Polo POLO VIVO 1.6 TREND,2012,"104,000 km",1.6 l,N/A,N/A,N/A,None
https://www.namauto.com/cars/10512559-honda-ballade-1.5-elegance-cvt/,"N$ 119,900 ",Honda,Ballade 1.5 ELEGANCE CVT,2014,"61,500 km",1.5 l,CVT,Petrol,N/A,None
https://www.namauto.com/cars/10767974-hyundai-terracan-3.5-v6-a-t/,"N$ 119,900 ",Hyundai,Terracan 3.5 V6 A/T,2005,"128,000 km",3.5 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/10987140-volkswagen-tiguan-2.0-tdi-track-field-4-mot/,"N$ 119,900 ",Volkswagen,Tiguan 2.0 TDI TRACK-FIELD 4MOT,2010,"198,000 km",2 l,Manual,Diesel,15.0 KPL,None
https://www.namauto.com/cars/10887699-toyota-etios-1.5-xs/,"N$ 120,000 ",Toyota,ETIOS 1.5 Xs,2016,"59,000 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10916888-jeep-cherokee-2.8-crd-limited-a-t/,"N$ 120,000 ",Jeep,Cherokee 2.8 CRD LIMITED A/T,2010,"245,000 km",2.8 l,Automatic,Diesel,N/A,None
https://www.namauto.com/cars/10797688-toyota-etios-1.5-sprint/,"N$ 125,000 ",Toyota,ETIOS 1.5 Sprint,2018,"40,000 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10493612-volkswagen-polo-1.6-tdi-cross/,"N$ 129,000 ",Volkswagen,Polo 1.6 TDI CROSS,2012,"106,000 km",1.6 l,N/A,N/A,N/A,None
https://www.namauto.com/cars/10226338-ford-figo-1.5-ambiente/,"N$ 129,900 ",Ford,Figo 1.5 AMBIENTE,2017,"65,000 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10502441-ford-figo-1.5-ambiente-5-dr/,"N$ 129,900 ",Ford,Figo 1.5 AMBIENTE (5DR),2018,"25,000 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10704402-toyota-etios-1.5-xi/,"N$ 129,900 ",Toyota,ETIOS 1.5 Xi,2016,"31,000 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10832836-chevrolet-utility-1.4-a-c-p-u-s-c/,"N$ 129,900 ",Chevrolet,UTILITY 1.4 A/C P/U S/C,2015,"17,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10884928-volkswagen-polo-vivo-1.6-5-dr/,"N$ 129,900 ",Volkswagen,POLO VIVO 1.6 5Dr,2014,"64,500 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10889908-alfa-romeo-giulietta-1.4-t-progression-5-dr/,"N$ 129,900 ",Alfa Romeo,Giulietta 1.4T PROGRESSION 5Dr,2011,"75,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10904991-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 129,900 ",Volkswagen,POLO VIVO 1.4 TRENDLINE (5DR),2016,"91,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10905356-toyota-corolla-quest-1.6/,"N$ 129,900 ",Toyota,Corolla Quest 1.6,2016,"91,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10905387-toyota-corolla-quest-1.6/,"N$ 129,900 ",Toyota,Corolla Quest 1.6,2016,"81,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10920287-toyota-corolla-quest-1.6/,"N$ 129,900 ",Toyota,Corolla Quest 1.6,2016,"92,583 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10981230-volkswagen-polo-vivo-gp-1.6-trendline/,"N$ 129,900 ",Volkswagen,POLO VIVO GP 1.6 TRENDLINE,2015,"73,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10981231-volkswagen-polo-vivo-gp-1.4-eclipse-5-dr/,"N$ 129,900 ",Volkswagen,POLO VIVO GP 1.4 ECLIPSE 5DR,2015,"75,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10515916-toyota-avanza-1.3-s-f-c-p-v/,"N$ 135,000 ",Toyota,AVANZA 1.3 S F/C P/V,2015,"88,500 km",1.3 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10737180-chevrolet-corsa-utility-1.4-a-c-p-u-s-c/,"N$ 135,000 ",Chevrolet,CORSA UTILITY 1.4 A/C P/U S/C,2015,"88,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10859214-toyota-land-cruiser-prado-prado-vx-4.0-v6-a-t/,"N$ 135,000 ",Toyota,Land Cruiser Prado PRADO VX 4.0 V6 A/T,2003,"349,500 km",4 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/10935951-volkswagen-polo-1.4-comfortline/,"N$ 135,000 ",Volkswagen,Polo 1.4 COMFORTLINE,2013,"93,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10838913-volkswagen-polo-vivo-gp-1.4-conceptline/,"N$ 138,000 ",Volkswagen,POLO VIVO GP 1.4 CONCEPTLINE,2015,"88,500 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10642141-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 139,900 ",Volkswagen,POLO VIVO 1.4 TRENDLINE 5Dr,2016,"65,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10718269-toyota-etios-1.5-sprint/,"N$ 139,900 ",Toyota,ETIOS 1.5 Sprint,2018,"36,000 km",1.5 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10988997-toyota-yaris-1.3-xi-3-dr/,"N$ 140,000 ",Toyota,Yaris 1.3 XI 3DR,2016,"58,700 km",1.3 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10965286-renault-sandero-900-t-stepway-expression/,"N$ 141,900 ",Renault,SANDERO 900T STEPWAY EXPRESSION,2017,"58,307 km",0.9 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10707628-audi-a4-2.0-t-fsi-ambiente-155-kw-b8/,"N$ 145,000 ",Audi,A4 2.0T FSI AMBIENTE 155KW (B8),2009,"99,800 km",2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10935240-honda-jazz-1.2-comfort/,"N$ 145,000 ",Honda,Jazz 1.2 COMFORT,2016,"45,000 km",1.2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/9854090-toyota-corolla-quest-1.6/,"N$ 147,000 ",Toyota,Corolla Quest 1.6,2018,"45,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/9307562-ford-tourneo-connect-1.0-amb/,"N$ 149,900 ",Ford,Tourneo CONNECT 1.0 AMB,2015,"93,000 km",1 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10502200-peugeot-2008-1.6-vti-allure/,"N$ 149,900 ",Peugeot,2008 1.6 VTi ALLURE,2014,"83,500 km",1.6 l,N/A,N/A,N/A,None
https://www.namauto.com/cars/10543449-toyota-corolla-quest-1.6/,"N$ 149,900 ",Toyota,Corolla Quest 1.6,2017,"57,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10767989-hyundai-i20-1.4-fluid/,"N$ 149,900 ",Hyundai,i20 1.4 FLUID,2015,"59,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10802254-mazda-mazda2-2-1.5-dynamic-a-t-5-dr/,"N$ 149,900 ",Mazda,Mazda2 2 1.5 DYNAMIC A/T 5DR,2017,"66,717 km",1.5 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/10885091-jaguar-x-type-2.0-se-x400-v6/,"N$ 149,900 ",Jaguar,X Type 2.0 SE X400 V6,2007,"65,000 km",2.1 l,Automatic,N/A,N/A,None
https://www.namauto.com/cars/10904995-ford-eco-sport-1.0-ecoboost-trend/,"N$ 149,900 ",Ford,EcoSport 1.0 ECOBOOST TREND,2015,"87,000 km",1 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10371338-volkswagen-golf-vi-1.4-tsi-comfortline/,"N$ 150,000 ",Volkswagen,Golf VI 1.4 TSi COMFORTLINE,2013,"151,000 km",1.4 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10909989-toyota-corolla-quest-1.6-a-t/,"N$ 153,000 ",Toyota,Corolla Quest 1.6 A/T,2015,"96,373 km",1.6 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/9723099-toyota-corolla-quest-1.6/,"N$ 154,900 ",Toyota,Corolla QUEST 1.6,2017,"60,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10713844-nissan-juke-1.6-acenta/,"N$ 155,000 ",Nissan,Juke 1.6 ACENTA +,2014,"75,900 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/6984649-honda-brio-trend-5-door/,"N$ 158,000 ",Honda,BRIO Trend 5-Door,2019,N/A,1.2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10418351-toyota-corolla-quest-1.6-a-t/,"N$ 159,900 ",Toyota,Corolla Quest 1.6 A/T,2017,"60,000 km",1.6 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/10717175-mazda-mx-5-2.0-roadster-coupe/,"N$ 159,900 ",Mazda,MX-5 2.0 ROADSTER COUPE,2012,"33,500 km",2 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10817873-toyota-corolla-quest-1.6-a-t/,"N$ 159,900 ",Toyota,Corolla Quest 1.6 A/T,2017,"63,000 km",1.6 l,Automatic,Petrol,N/A,None
https://www.namauto.com/cars/10817876-toyota-corolla-quest-1.6/,"N$ 159,900 ",Toyota,Corolla Quest 1.6,2018,"60,000 km",1.6 l,Manual,Petrol,N/A,None
https://www.namauto.com/cars/10817878-toyota-corolla-quest-1.6/,"N$ 159,900 ",Toyota,Corolla Quest 1.6,2018,"60,000 km",1.6 l,Manual,Petrol,N/A,None
