link,price,manufacturer,model,reg-year,mileage,engine-size,fuel-type,transmission,drive,finance
https://www.namcars.net/Nissan-Bluebird-Sylphy-1.8vi-1400695489,"N$ 25,000",Nissan,Bluebird Sylphy 1.8vi,2004 Year,18 km mileage,1.8L Engine,Petrol Fuel,Automatic transmission,Air Conditioning,Climate Control
https://www.namcars.net/Toyota-Rav-4-1400694347,"N$ 35,000",Toyota,Rav 4,1997 Year,"226,664 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,4x4,Finance: Not available
https://www.namcars.net/Opel-Corsa-Lite-1400695379,"N$ 38,000",Opel,Corsa Lite,1997 Year,"168,000 km mileage",1.3L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/BMW-330i-1400695470,"N$ 38,000",BMW,330i,2001 Year,"146,000 km mileage",2.0L Engine,Petrol Fuel,Manual transmission,In good condition,
https://www.namcars.net/Volkswagen-Polo-1.4-1400695136,"N$ 40,000",Volkswagen,Polo 1.4,2005 Year,"143,231 km mileage",1.4L Engine,Petrol Fuel,Automatic transmission,,
https://www.namcars.net/Suzuki-Solio-1400695696,"N$ 47,000",Suzuki,Solio,2012 Year,"96,500 km mileage",1.2L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Suzuki-Swift-1400695269,"N$ 50,000",Suzuki,Swift,2008 Year,"88,149 km mileage",1.3L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Avensis-D4-1400691068,"N$ 51,500",Toyota,Avensis D4,2008 Year,"93,000 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,"Vehicle was serviced on 20 December and is ready for viewing. 
Price negotiable",
https://www.namcars.net/Citroen-C1-1.0-i-Vibe-3dr-1400695346,"N$ 52,000",Citroen,C1 1.0 i Vibe 3dr,2014 Year,"44,000 km mileage",1.0L Engine,Petrol Fuel,Manual transmission,"Perfect Student car. Very cheap on Gas. Small and Compact. 
50 kW / 6000rpm • 160 Km/h • 4.3 L/100 Km • 35 Litres tank/ 800km 
REG 2015 (Only One Lady Owner)
44 000 km (Full Service)
Mechanically perfect - Few paint scars on Body.",
https://www.namcars.net/Toyota-Passo-1400695453,"N$ 55,000",Toyota,Passo,2011 Year,"47,300 km mileage",1.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-DEMIO-1400693672,"N$ 55,000",Mazda,DEMIO,2011 Year,"101,852 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Fiat-Fiorino-1.4-1400684738,"N$ 55,000",Fiat,Fiorino 1.4,2014 Year,"135,000 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,"Delivery van, air con.",
https://www.namcars.net/Nissan-NOTE-1400692702,"N$ 55,000",Nissan,NOTE,2011 Year,"49,276 km mileage",1.5L Engine,Petrol Fuel,Automatic transmission,4x2,Finance: Not available
https://www.namcars.net/Nissan-NOTE-1400692703,"N$ 55,000",Nissan,NOTE,2011 Year,"63,606 km mileage",1.5L Engine,Petrol Fuel,Automatic transmission,4x2,Finance: Not available
https://www.namcars.net/Toyota-Crown-3.0L-V6-1400684743,"N$ 59,000",Toyota,Crown 3.0L V6,2008 Year,"68,538 km mileage",3.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Passat-Tdi-1400695534,"N$ 59,000",Volkswagen,Passat Tdi,2004 Year,"237,000 km mileage",2.0L Engine,Diesel Fuel,Manual transmission,Air Conditioning,Climate Control
https://www.namcars.net/Citroen-C4-Picasso-1400694783,"N$ 59,000",Citroen,C4 Picasso,2012 Year,"116,150 km mileage",1.6L Engine,Petrol Fuel,Automatic Tiptronic transmission,Rear-Wheel Drive,Finance: Not available
https://www.namcars.net/Kia-PICANTO-1400695396,"N$ 59,900",Kia,PICANTO,2008 Year,"125,000 km mileage",1.1L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Alfa-Romeo-147-2.0-manual-5-Door-1400695145,"N$ 59,900",Alfa Romeo,147 2.0 manual 5 Door,2009 Year,"114,000 km mileage",2.0L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Isis-1400693396,"N$ 59,900",Toyota,Isis,2008 Year,"150,000 km mileage",1.8L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Golf-4-1400695454,"N$ 60,000",Volkswagen,Golf 4,2005 Year,"178,000 km mileage",1.8L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Hyundai-Atos-prime-1400695199,"N$ 60,000",Hyundai,Atos prime,2009 Year,"142,000 km mileage",1.1L Engine,Petrol Fuel,Manual transmission,"very clean car.
Brand new tyres.",
https://www.namcars.net/Mazda-Demio-1400690361,"N$ 60,000",Mazda,Demio,2012 Year,"102,000 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-NOTE-1400692701,"N$ 60,000",Nissan,NOTE,2011 Year,"56,320 km mileage",1.5L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-Note-1400695320,"N$ 63,000",Nissan,Note,2011 Year,"55,900 km mileage",1.5L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Polo-5-1400695357,"N$ 63,000",Volkswagen,Polo 5,2009 Year,"115,000 km mileage",1.4L Engine,Petrol Fuel,Automatic transmission,,
https://www.namcars.net/Toyota-Vitz-1400695694,"N$ 63,000",Toyota,Vitz,2011 Year,"22,600 km mileage",1.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-Note-1400695452,"N$ 63,000",Nissan,Note,2011 Year,"60,500 km mileage",1.5L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-DEMIO-1400692707,"N$ 63,000",Mazda,DEMIO,2011 Year,"74,843 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,4x2,Finance: Not available
https://www.namcars.net/Volkswagen-Up-1400694173,"N$ 64,000",Volkswagen,Up,2014 Year,"97,125 km mileage",1.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Citi-Golf-1.4i-1400695582,"N$ 64,990",Volkswagen,Citi Golf 1.4i,2003 Year,"121,100 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Honda-Fit-1400694811,"N$ 65,000",Honda,Fit,2011 Year,"58,921 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-Demio-1400694679,"N$ 65,000",Mazda,Demio,2011 Year,"44,131 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Honda-Fit-1400695704,"N$ 65,000",Honda,Fit,2011 Year,"15,081 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-Demio-1400695720,"N$ 65,000",Mazda,Demio,2012 Year,"15,152 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mazda-Demio-1400695721,"N$ 65,000",Mazda,Demio,2011 Year,"55,010 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Porte-1400684515,"N$ 65,000",Toyota,Porte,2010 Year,"95,530 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-Demio-1400694765,"N$ 65,000",Mazda,Demio,2011 Year,"50,132 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Citroen-C-3-1400684023,"N$ 65,000",Citroen,C 3,2010 Year,"48,027 km mileage",1.6L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-Premacy-1400694782,"N$ 65,000",Mazda,Premacy,2011 Year,"93,900 km mileage",2.0L Engine,Petrol Fuel,Automatic Tiptronic transmission,Rear-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Auris-1400695476,"N$ 68,000",Toyota,Auris,2010 Year,"145,000 km mileage",1.8L Engine,Petrol Fuel,Air Conditioning,Cruise Control,Central Locking
https://www.namcars.net/Fiat-500-1400694725,"N$ 68,000",Fiat,500,2012 Year,"220,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,"Very good condition,selling N$220000 below retail.",
https://www.namcars.net/Daihatsu-Terios-1.3i-AWD-1400694350,"N$ 69,000",Daihatsu,Terios 1.3i AWD,2005 Year,"152,000 km mileage",1.3L Engine,Petrol Fuel,Manual transmission,All-Wheel Drive,Finance: Not available
https://www.namcars.net/Hyundai-Getz-1.4-1400695125,"N$ 69,000",Hyundai,Getz 1.4,2011 Year,"102,000 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mercedes-Benz-A180-1400694914,"N$ 69,000",Mercedes-Benz,A180,2011 Year,"97,800 km mileage",1.6L Engine,Petrol Fuel,Automatic Tiptronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Vitz-1400695447,"N$ 69,000",Toyota,Vitz,2011 Year,"94,400 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-Serena-1400695202,"N$ 69,000",Nissan,Serena,2011 Year,"168,800 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,Rear-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-Latio-Pure-Drive-1400694710,"N$ 69,000",Nissan,Latio Pure Drive,2014 Year,"50,720 km mileage",1.2L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Fiat-Strada-1.4i-Working-1400678153,"N$ 69,900",Fiat,Strada 1.4i Working,2010 Year,"120,000 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mercedes-Benz-A-Class-1400691986,"N$ 69,900",Mercedes-Benz,A Class,2009 Year,"106,000 km mileage",2.0L Engine,Diesel Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volvo-S80-1400689011,"N$ 69,900",Volvo,S80,2002 Year,"227,000 km mileage",2.4L Engine,Petrol Fuel,Automatic transmission,Rear-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-3-sport-1.6-1400683829,"N$ 70,000",Mazda,3 sport 1.6,2008 Year,"127,500 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,"new starter at 100000
new clutch
new front shocks
new front tyres @ 117000
underbody & cavity
full service history
vehicle only used every second weekend, not a daily use car.
new shock mountings 
just received 125000km service !",
https://www.namcars.net/Daihatsu-Terios-4x4-1400695390,"N$ 70,000",Daihatsu,Terios  4x4,2008 Year,"130,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Please e-mail me if interested,
https://www.namcars.net/Toyota-Vitz-Jewela-1400694458,"N$ 70,000",Toyota,Vitz Jewela,2011 Year,"58,100 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,All-wheel drive,Finance: Not available
https://www.namcars.net/Toyota-Uri-1400695523,"N$ 70,000",Toyota,Uri,2012 Year,2.2L Engine,Petrol Fuel,Manual transmission,2.2 Toyota 4Y 4x2 not on the road.,,
https://www.namcars.net/Chevrolet-Sonic-1.6-LS-4-Door-Sedan-1400695550,"N$ 70,000",Chevrolet,Sonic 1.6 LS 4 Door Sedan,2012 Year,"171,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,"A/C, P/Steering, B/Tooth, Aux & USB input, E/Windows, E/Mirrors, Adjustable Steering, Integrated Steering Wheel Controls, Fog Lights, Cruise Control, CD Player, Height Adjustable Driver Seat, Full Size Spare Wheel, Mag Rims, ABS, Air Bags, Alarm, Central Locking, FSH, Very Reliable, Fuel Economy combined cycle & cruise control 14.1km/ltr.",
https://www.namcars.net/Toyota-Belta-Yaris-1400695395,"N$ 73,000",Toyota,Belta/Yaris,2011 Year,"26,100 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Touran-1-9-Tdi-1400695544,"N$ 74,000",Volkswagen,"Touran 1,9 Tdi",2005 Year,"235,000 km mileage",1.9L Engine,Diesel Fuel,Manual transmission,"New Clutch 
New tie rods/tie rods ends
New front and rear shocks (5000k ago)",
https://www.namcars.net/Mazda-Premacy-1400695394,"N$ 75,000",Mazda,Premacy,2011 Year,"65,200 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Golf-1400695152,"N$ 75,000",Volkswagen,Golf,2012 Year,"173,500 km mileage",1.6L Engine,Diesel Fuel,Manual transmission,"Cruise control
Full service history
Clean interior
Air conditioner
Bluetooth radio
Alarm system
Central lock",
https://www.namcars.net/Hyundai-i10-1.2-Manual-1400684178,"N$ 75,000",Hyundai,i10 1.2 Manual,2012 Year,"77,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Isis-1400695261,"N$ 75,000",Toyota,Isis,2011 Year,"79,300 km mileage",1.8L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-Sylphy-1400694460,"N$ 77,000",Nissan,Sylphy,2012 Year,"59,196 km mileage",1.5L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Etios-1400695456,"N$ 78,000",Toyota,Etios,2013 Year,"150,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Air Conditioning,Central Locking
https://www.namcars.net/Honda-INSIGHT-HYBRID-1400693629,"N$ 79,000",Honda,INSIGHT HYBRID,2012 Year,"100,778 km mileage",1.3L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Ford-B-MAX-2.0-ECOBOSST-TITANIUM-1400683174,"N$ 79,000",Ford,B-MAX 2.0 ECOBOSST TITANIUM,2012 Year,"63,764 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Isuzu-KB250-1400695281,"N$ 79,000",Isuzu,KB250,2008 Year,"298,900 km mileage",2.5L Engine,Diesel Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Kia-Picanto-1.2-XE-1400695587,"N$ 79,900",Kia,Picanto 1.2 XE,2011 Year,"97,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Audi-A4-2.0-TDi-Mutlitronic-1400693365,"N$ 79,900",Audi,A4 2.0 TDi Mutlitronic,2006 Year,"145,000 km mileage",2.0L Engine,Diesel Fuel,Automatic Multitronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Chevrolet-Spark-1400694176,"N$ 79,900",Chevrolet,Spark,2013 Year,"89,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Tata-Indica-1.4-Man-1400695036,"N$ 79,995",Tata,Indica 1.4 Man,2016 Year,"42,900 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mercedes-Benz-230E-W124-1400694670,"N$ 80,000",Mercedes-Benz,230E W124,1989 Year,"211,000 km mileage",2.3L Engine,Petrol Fuel,Automatic transmission,Rear-Wheel Drive,Finance: Not available
https://www.namcars.net/BMW-523i-1400695207,"N$ 80,000",BMW,523i,2008 Year,"150,000 km mileage",2.5L Engine,Petrol Fuel,Automatic transmission,Air Conditioning,Climate Control
https://www.namcars.net/Honda-Civiv-1400695485,"N$ 80,000",Honda,Civiv,2007 Year,"122,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Ford-Figo-Ambiente-1400693142,"N$ 82,000",Ford,Figo Ambiente,2015 Year,"84,000 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Toyota-Etios-1400695493,"N$ 83,000",Toyota,Etios,2012 Year,"62,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Toyota-Corolla-1400694895,"N$ 84,900",Toyota,Corolla,1993 Year,"148,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-Mazda-2-1400689624,"N$ 84,900",Mazda,Mazda 2,2008 Year,"92,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Volkswagen-Golf-TSI-1400694037,"N$ 85,000",Volkswagen,Golf TSI,2010 Year,"124,000 km mileage",1.4L Engine,Petrol Fuel,Automatic transmission,Vehicle sold!,
https://www.namcars.net/Chevrolet-SPARK-1.2-LS-1400694634,"N$ 85,000",Chevrolet,SPARK 1.2 LS,2014 Year,"54,500 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Chevrolet-Cruze-1400694461,"N$ 85,000",Chevrolet,Cruze,2011 Year,"67,051 km mileage",1.6L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mitsubishi-Lancer-2.4-GLS-A-T-1400695744,"N$ 85,000",Mitsubishi,Lancer 2.4 GLS A/T,2008 Year,"194,000 km mileage",2.4L Engine,Petrol Fuel,Automatic transmission,All-Wheel Drive,Finance: Not available
https://www.namcars.net/Isuzu-KB2200-1400695247,"N$ 85,000",Isuzu,KB2200,1989 Year,"333,174 km mileage",2.2L Engine,Petrol Fuel,Manual transmission,"Double Fuel Tanks, Two Water Tanks, Spare Wheel, Canopy
Recently Serviced.
4x4 High + Low Range
The Vehicle is good running condition,
The License Disk is valid until
30/09/2020.",
https://www.namcars.net/Volkswagen-JETTA-TSI-1400692711,"N$ 85,000",Volkswagen,JETTA TSI,2009 Year,"113,652 km mileage",2.0L Engine,Petrol Fuel,Automatic Tiptronic transmission,4x2,Finance: Not available
https://www.namcars.net/Volkswagen-Golf-6-TSI-1400693623,"N$ 88,000",Volkswagen,Golf 6 TSI,2010 Year,"111,000 km mileage",1.4L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Polo-Vivo-1400695495,"N$ 88,000",Volkswagen,Polo Vivo,2014 Year,"113,000 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Air Conditioning,Central Locking
https://www.namcars.net/Chevrolet-Utility-1.4-1400687368,"N$ 89,000",Chevrolet,Utility  1.4,2011 Year,"164,000 km mileage",1.8L Engine,Petrol Fuel,Manual transmission,4x2,Finance: Not available
https://www.namcars.net/Mitsubishi-Delica-1400688140,"N$ 89,000",Mitsubishi,Delica,2010 Year,"147,060 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Mazda-3-1400694842,"N$ 89,000",Mazda,3,2012 Year,"39,100 km mileage",1.6L Engine,Petrol Fuel,Automatic Tiptronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Toyota-Innova-1400694427,"N$ 89,000",Toyota,Innova,2013 Year,"187,500 km mileage",2.7L Engine,Petrol Fuel,Manual transmission,Rear-Wheel Drive,Finance: Available
https://www.namcars.net/Alfa-Romeo-JTS-Selespeed-1400693735,"N$ 89,000",Alfa Romeo,JTS Selespeed,2012 Year,"63,750 km mileage",2.2L Engine,Petrol Fuel,Automatic Tiptronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Audi-A3-Sportback-2.0-FSI-1400695586,"N$ 89,900",Audi,A3 Sportback 2.0 FSI,2007 Year,"130,000 km mileage",2.0L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Ford-Ikon-1.6-Ambiente-1400694174,"N$ 89,900",Ford,Ikon 1.6 Ambiente,2015 Year,"77,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mazda-MAZDA-2-1-3-ACTIVE-(DEPOSIT-ASSISTANCE-)-1400693925,"N$ 89,900",Mazda,"MAZDA 2 1,3 ACTIVE (DEPOSIT ASSISTANCE )",2012 Year,"105,000 km mileage",1.3L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Hilux-Raider-2.8D-1400694439,"N$ 89,900",Toyota,Hilux Raider 2.8D,1996 Year,"208,000 km mileage",2.8L Engine,Diesel Fuel,Manual transmission,4x2,Finance: Not available
https://www.namcars.net/Ford-Figo-1.4-Ambiente-1400694707,"N$ 89,900",Ford,Figo 1.4 Ambiente,2014 Year,"101,500 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mitsubishi-Lancer-2.0-GLS-1400692450,"N$ 89,900",Mitsubishi,Lancer 2.0 GLS,2010 Year,"108,000 km mileage",2.0L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
