index,url,price,make,model,variant,reg,previous-owners,mpg,colour,interior-colour,exterior-colour,doors,fuel-type,bodystyle,mileage,engine-size,transmission
0,https://www.namauto.com/cars/10383024-smart-forfour-a-t/,"N$ 59,999 ",smart,forfour,A/T,USED,1,N/A,Blue,greenise,blue/siler,5,Petrol,Hatchback,"51,000 km",0.9 l,Automatic
1,https://www.namauto.com/cars/10382656-volkswagen-up-up-5-door-1.0/,"N$ 74,999 ",Volkswagen,up!,up!  5-door 1.0,USED,1,N/A,Silver,grey,silver,5,Petrol,Hatchback,"54,800 km",1 l,Manual
2,https://www.namauto.com/cars/10384367-fiat-strada-1.4-working/,"N$ 75,000 ",Fiat,Strada,1.4 WORKING,BASSON,1,N/A,White,Grey,White,2,Petrol,Bakkie Single Cab,"155,000 km",1.4 l,Manual
3,https://www.namauto.com/cars/10443953-honda-civic-2.2-cdti-vxi-5dr/,"N$ 75,000 ",Honda,Civic,2.2 CDTi VXi 5dr,USED,1,N/A,Blue,BLACK,Dark Blue,5,Diesel,Hatchback,"161,000 km",2.2 l,Manual
4,https://www.namauto.com/cars/10443516-datsun-go-1.2-lux/,"N$ 95,900 ",Datsun,GO,1.2 LUX,USED,1,N/A,Silver,grey,Silver,5,Petrol,Hatchback,"31,000 km",1.2 l,Manual
5,https://www.namauto.com/cars/10400666-volkswagen-polo-1.4-comfortline-5-dr/,"N$ 99,000 ",Volkswagen,Polo,1.4 COMFORTLINE 5DR,DEVILLIERS,1,N/A,Yellow,Grey,Yellow,5,Petrol,Hatchback,"135,500 km",1.4 l,Manual
6,https://www.namauto.com/cars/10331852-hyundai-i20-1.4-d-glide/,"N$ 99,900 ",Hyundai,i20,1.4D GLIDE,USED,1,N/A,White,Black,White,5,Diesel,Hatchback,"132,000 km",1.4 l,Manual
7,https://www.namauto.com/cars/10418258-volkswagen-polo-1.4-comfortline-5-dr/,"N$ 99,900 ",Volkswagen,Polo,1.4 COMFORTLINE 5DR,USED,1,N/A,Yellow,Grey,Yellow,5,Petrol,Hatchback,"135,000 km",1.4 l,Manual
8,https://www.namauto.com/cars/9769645-alfa-romeo-gt-3.2-v6-distinctive/,"N$ 100,000 ",Alfa Romeo,GT,3.2 V6 DISTINCTIVE,10UCA67441,1,N/A,Gold,Black,Gold,2,Petrol,Coupe,"87,000 km",3.2 l,Manual
9,https://www.namauto.com/cars/10440758-toyota-etios-1.5-xi-5-dr/,"N$ 101,900 ",Toyota,ETIOS,1.5 Xi 5Dr,USED,1,N/A,Blue,grey,blue,5,Petrol,Hatchback,"83,050 km",1.5 l,Manual
10,https://www.namauto.com/cars/9413866-toyota-etios-1.5-xs-sedan/,"N$ 109,900 ",Toyota,ETIOS,1.5 XS Sedan,14ETIOSWIT,2,N/A,White,Black,white,4,Petrol,Sedan,"89,000 km",1.5 l,Manual
11,https://www.namauto.com/cars/9932769-jeep-grand-cherokee-3.0-crd-laredo/,"N$ 109,900 ",Jeep,Grand Cherokee,3.0 CRD LAREDO,USED,2,N/A,Bronze,Grey,Brown,5,Diesel,SUV,"243,000 km",3 l,Automatic
12,https://www.namauto.com/cars/10391443-kia-picanto-1.2-ex-automatic/,"N$ 109,900 ",Kia,Picanto,1.2 EX Automatic,PIC12MAR,1,N/A,Maroon,Black and Grey,maroon,5,Petrol,Hatchback,"60,000 km",1.2 l,Automatic
13,https://www.namauto.com/cars/10225261-chevrolet-utility-1.3-d/,"N$ 110,000 ",Chevrolet,UTILITY,1.3D,PREOWNED,1,N/A,White,Grey,White,2,Diesel,Bakkie Single Cab,"99,600 km",1.2 l,Manual
14,https://www.namauto.com/cars/10418151-chevrolet-utility-1.4/,"N$ 114,900 ",Chevrolet,UTILITY,1.4,USED,1,N/A,White,N/A,White,2,Petrol,Bakkie Single Cab,"144,000 km",1.4 l,Manual
15,https://www.namauto.com/cars/10418300-nissan-np200-1.6i-aircon/,"N$ 114,900 ",Nissan,NP200,1.6i (aircon),USED,1,N/A,White,Grey,White,2,Petrol,Bakkie Single Cab,"102,000 km",1.6 l,Manual
16,https://www.namauto.com/cars/9382421-volvo-s40-2.0-powershift/,"N$ 119,900 ",Volvo,S40,2.0 POWERSHIFT,USED,1,N/A,White,Black,White,4,Petrol,Sedan,"91,000 km",2 l,Automatic
17,https://www.namauto.com/cars/10195734-renault-sandero-900-t-dynamique/,"N$ 119,900 ",Renault,SANDERO,900 T DYNAMIQUE,PREOWNED,1,N/A,Silver,Black,Silver,5,Petrol,Hatchback,"49,500 km",0.9 l,Manual
18,https://www.namauto.com/cars/10463612-volkswagen-polo-1.4-comfortline-5-dr/,"N$ 119,900 ",Volkswagen,Polo,1.4 COMFORTLINE 5DR,PREOWNED,1,N/A,Silver,Grey,Silver,5,N/A,Hatchback,"122,000 km",1.4 l,N/A
19,https://www.namauto.com/cars/9503919-volkswagen-t5-kombi-1.9-tdi/,"N$ 124,500 ",Volkswagen,T5 KOMBI,1.9 TDI,USED,1,N/A,Silver,N/A,silver,5,Diesel,MINIBUS,"233,000 km",1.9 l,Manual
20,https://www.namauto.com/cars/10246084-volkswagen-polo-polo-vivo-1.6-trend/,"N$ 124,900 ",Volkswagen,Polo,POLO VIVO 1.6 TREND,10UCA14641,1,N/A,White,N/A,white,5,N/A,Hatchback,"60,000 km",1.6 l,N/A
21,https://www.namauto.com/cars/10226338-ford-figo-1.5-ambiente/,"N$ 129,900 ",Ford,Figo,1.5 AMBIENTE,N25241WB,1,N/A,White,N/A,white,4,Petrol,Sedan,"65,000 km",1.5 l,Manual
22,https://www.namauto.com/cars/10298442-volkswagen-polo-vivo-gp-1.4-conceptline-5-dr/,"N$ 129,900 ",Volkswagen,POLO VIVO,GP 1.4 CONCEPTLINE 5DR,MASTERCARS,1,N/A,White,Grey,White,5,Petrol,Hatchback,"73,000 km",1.4 l,Manual
23,https://www.namauto.com/cars/10210223-great-wall-2.4-hover-4-x4/,POA ,Great Wall,2.4,HOVER 4X4,PREOWNED,1,N/A,Blue,Black,Dark - Blue,5,Petrol,SUV,"57,000 km",2.4 l,Manual
0,https://www.namauto.com/cars/10435068-toyota-aygo-1.0-x-play-5-dr/,"N$ 131,000 ",Toyota,Aygo,1.0 X- PLAY (5DR),WILFRIED,1,N/A,Red,Grey,Red,5,Petrol,Hatchback,"14,800 km",1 l,Manual
1,https://www.namauto.com/cars/10305802-toyota-etios-1.5-sprint/,"N$ 134,900 ",Toyota,ETIOS,1.5 Sprint,USED,1,N/A,Silver,black,Silver,5,Petrol,Hatchback,"20,000 km",1.5 l,Manual
2,https://www.namauto.com/cars/10413861-renault-duster-1.5-d-ci-dynamique-4-x4/,"N$ 134,900 ",Renault,Duster,1.5 dCI DYNAMIQUE 4X4,USED,2,N/A,Silver,N/A,Silver,5,Diesel,cross-over,"145,000 km",1.5 l,Manual
3,https://www.namauto.com/cars/10326975-lexus-lx-430/,"N$ 135,000 ",Lexus,LX,430,USED,1,N/A,White,Grey,White,5,Petrol,SUV,"215,000 km",5.7 l,Automatic
4,https://www.namauto.com/cars/10074565-ford-fiesta-1.4-ambiente-5-dr/,"N$ 139,900 ",Ford,Fiesta,1.4 AMBIENTE 5Dr,USED,1,N/A,White,Black,White,5,Petrol,Hatchback,"51,000 km",1.4 l,Manual
5,https://www.namauto.com/cars/10252209-volkswagen-polo-vivo-gp-1.4-street-5-dr/,"N$ 139,900 ",Volkswagen,POLO VIVO,GP 1.4 STREET 5DR,MASTERCARS,1,N/A,Black,gray,black,5,Petrol,Hatchback,"69,500 km",1.4 l,Manual
6,https://www.namauto.com/cars/10420972-nissan-almera-1.5-acenta/,"N$ 139,900 ",Nissan,Almera,1.5 ACENTA,USED,1,N/A,White,N/A,White,4,Petrol,Sedan,"22,000 km",1.5 l,Manual
7,https://www.namauto.com/cars/10441078-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 139,900 ",Volkswagen,POLO VIVO,1.4 TRENDLINE 5Dr,USED,2,N/A,White,Grey,White,5,Petrol,Hatchback,"95,000 km",1.4 l,Automatic
8,https://www.namauto.com/cars/10448214-volkswagen-polo-1.6-trendline/,"N$ 139,900 ",Volkswagen,Polo,1.6 TRENDLINE,USED,2,N/A,White,Grey,White,4,N/A,Sedan,"125,000 km",1.6 l,N/A
9,https://www.namauto.com/cars/10387460-toyota-corolla-quest-1.6/,"N$ 142,000 ",Toyota,Corolla Quest,1.6,N16909S,1,N/A,White,N/A,WHITE,4,Petrol,Sedan,"90,000 km",1.6 l,Manual
10,https://www.namauto.com/cars/9839913-ford-figo-1.5-ambiente-5-dr/,"N$ 144,900 ",Ford,Figo,1.5 AMBIENTE (5DR),20FDW63062,1,N/A,Silver,BLACK,SILVER,5,Petrol,Hatchback,"6,500 km",1.5 l,Manual
11,https://www.namauto.com/cars/10258020-toyota-etios-1.5-sprint-hatchback/,"N$ 144,900 ",Toyota,ETIOS,1.5 Sprint Hatchback,USED,1,N/A,Silver,Black,Silver,5,Petrol,Hatchback,"45,000 km",1.5 l,Manual
12,https://www.namauto.com/cars/10326905-toyota-etios-1.5-xs/,"N$ 144,900 ",Toyota,ETIOS,1.5 Xs,USED,1,N/A,White,Black,White,4,Petrol,Sedan,"41,000 km",1.5 l,Manual
13,https://www.namauto.com/cars/10430695-nissan-hardbody-np300-2.0/,"N$ 145,000 ",Nissan,HARDBODY,NP300 2.0,NAOBEB,1,N/A,White,BLACK,WHITE,2,Petrol,Bakkie Single Cab,"45,000 km",2 l,N/A
14,https://www.namauto.com/cars/10065569-volkswagen-polo-vivo-1.6-maxx-5-dr/,"N$ 145,900 ",Volkswagen,POLO VIVO,1.6 MAXX 5DR,10UCA,1,N/A,White,N/A,white,5,Petrol,Hatchback,"57,000 km",1.6 l,Manual
15,https://www.namauto.com/cars/9775365-volkswagen-polo-vivo-1.4-trendline-5-dr-facelift/,"N$ 146,000 ",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR) (Facelift),USED,1,N/A,Silver,Grey,Silver,5,Petrol,Hatchback,"45,000 km",1.4 l,Manual
16,https://www.namauto.com/cars/9876569-volkswagen-polo-vivo-gp-1.4-trendline-tip/,"N$ 149,700 ",Volkswagen,POLO VIVO,GP 1.4 TRENDLINE TIP,N168190W,N/A,N/A,Beige,N/A,BEIGE,4,Petrol,Sedan,"68,075 km",1.4 l,Automatic
17,https://www.namauto.com/cars/9307562-ford-tourneo-connect-1.0-amb/,"N$ 149,900 ",Ford,Tourneo,CONNECT 1.0 AMB,USED,2,N/A,White,Black,White,5,Petrol,MPV,"93,000 km",1 l,Manual
18,https://www.namauto.com/cars/9685008-volkswagen-polo-gp-1.2-tsi-trendline-66-kw/,"N$ 149,900 ",Volkswagen,Polo,GP 1.2 TSI TRENDLINE (66KW),12TSI15101,1,N/A,White,Black and Grey,white,5,Petrol,Hatchback,"101,000 km",1.2 l,Manual
19,https://www.namauto.com/cars/10246091-ford-figo-1.5-trend-5-dr/,"N$ 149,900 ",Ford,Figo,1.5 TREND (5DR),10UCA42339,N/A,N/A,White,N/A,white,5,Petrol,Hatchback,"40,000 km",1.5 l,Manual
20,https://www.namauto.com/cars/10246154-ford-fiesta-1.4-ambiente-dr-5/,"N$ 149,900 ",Ford,Fiesta,1.4 AMBIENTE Dr 5,USED,1,N/A,White,black,white,5,Petrol,Hatchback,"46,000 km",1.4 l,Manual
21,https://www.namauto.com/cars/10254986-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 149,900 ",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR),USED,1,N/A,Silver,Black,Silver,5,Petrol,Hatchback,"44,000 km",1.4 l,Manual
22,https://www.namauto.com/cars/10305826-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 149,900 ",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR),USED,1,N/A,Silver,black,Silver,5,Petrol,Hatchback,"44,000 km",1.4 l,Manual
23,https://www.namauto.com/cars/10371338-volkswagen-golf-vi-1.4-tsi-comfortline/,"N$ 150,000 ",Volkswagen,Golf,VI 1.4 TSi COMFORTLINE,VANNIEKERK,1,N/A,Red,Grey,Red,5,Petrol,Hatchback,"151,000 km",1.4 l,Manual
0,https://www.namauto.com/cars/9723099-toyota-corolla-quest-1.6/,"N$ 154,900 ",Toyota,Corolla,QUEST 1.6,USED,2,N/A,Silver,Grey,Silver,4,Petrol,Sedan,"50,000 km",1.6 l,Manual
1,https://www.namauto.com/cars/10201150-toyota-corolla-quest-1.6/,"N$ 154,900 ",Toyota,Corolla Quest,1.6,USED,1,N/A,Bronze,Black,Bronze,4,Petrol,Sedan,"54,000 km",1.6 l,Manual
2,https://www.namauto.com/cars/10113943-toyota-corolla-quest-1.6/,"N$ 155,000 ",Toyota,Corolla Quest,1.6,USED,1,N/A,Bronze,Grey,Bronze,4,Petrol,Sedan,"40,000 km",1.6 l,Manual
3,https://www.namauto.com/cars/10430493-volkswagen-take-up-1.0-5-dr/,"N$ 155,000 ",Volkswagen,TAKE UP,1.0 5DR,PREOWNED,1,N/A,White,Grey,White,5,Petrol,Hatchback,"2,200 km",1 l,Manual
4,https://www.namauto.com/cars/10352429-ford-figo-1.5-ambiente-5-dr/,"N$ 159,900 ",Ford,Figo,1.5 AMBIENTE (5DR),10UCA60518,N/A,N/A,White,N/A,white,5,Petrol,Hatchback,"26,500 km",1.5 l,Manual
5,https://www.namauto.com/cars/10398920-volkswagen-polo-vivo-gp-1.6-gts-5-dr/,"N$ 159,900 ",Volkswagen,POLO VIVO,GP 1.6 GTS 5DR,PREOWNED,1,N/A,White,Grey,White,5,Petrol,Hatchback,"82,000 km",1.6 l,Manual
6,https://www.namauto.com/cars/10418351-toyota-corolla-quest-1.6-a-t/,"N$ 159,900 ",Toyota,Corolla Quest,1.6 A/T,USED,1,N/A,Blue,Grey,Blue,4,Petrol,Sedan,"51,000 km",1.6 l,Automatic
7,https://www.namauto.com/cars/9876575-ford-fiesta-1.0-ecoboost-trend-5-dr/,"N$ 162,700 ",Ford,Fiesta,1.0 ECOBOOST TREND 5DR,12345,N/A,N/A,N/A,N/A,N/A,5,Petrol,Hatchback,"61,650 km",1 l,Manual
8,https://www.namauto.com/cars/10425438-nissan-juke-1.6-dig-t-tekna/,"N$ 164,700 ",Nissan,Juke,1.6 DIG-T TEKNA,123456,N/A,N/A,Brown,Black,brown,5,Petrol,Hatchback,"101,005 km",1.6 l,Manual
9,https://www.namauto.com/cars/10400165-ford-eco-sport-1.0-ecoboost-titanium/,"N$ 164,900 ",Ford,EcoSport,1.0 ECOBOOST TITANIUM,20UCA73216,1,N/A,Blue,BLACK,BLUE,5,Petrol,SUV,"81,000 km",1 l,Manual
10,https://www.namauto.com/cars/10430399-ford-focus-1.0-ecoboost-ambiente-5-dr/,"N$ 164,900 ",Ford,Focus,1.0 ECOBOOST AMBIENTE 5Dr,USED,1,N/A,White,Grey,White,5,Petrol,Hatchback,"54,000 km",1 l,Manual
11,https://www.namauto.com/cars/10225141-nissan-np300-hardbody-hardbody-np300-2.5-tdi-4-x4-p-u-d-c/,"N$ 165,000 ",Nissan,NP300 Hardbody,HARDBODY NP300 2.5 TDI 4X4 P/U D/C,PREOWNED,1,N/A,White,Grey,White,4,Diesel,Bakkie Double Cab,"118,100 km",2.5 l,Manual
12,https://www.namauto.com/cars/10357118-kia-sportage-2.0-ignite/,"N$ 165,000 ",Kia,Sportage,2.0 IGNITE,VILJOEN,1,N/A,Silver,Black,Silver,5,Petrol,SUV,"115,000 km",2 l,Manual
